"","name","college","position","id","age","birthDate","draftYear","draftRound","pickInDraftRound","draftPick"
"292","Kalija Lipscomb","Vanderbilt","WR",NA,24.4,1997-10-06,2020,NA,NA,NA
"293","Omar Bayless","Arkansas State","WR","00-0035947",26.2,1996-12-15,2020,NA,NA,NA
"294","Aaron Parker","Rhode Island","WR","00-0036034",24.8,1998-05-21,2020,NA,NA,NA
"295","Will Hastings","Auburn","WR",NA,24.8,1996-07-30,2020,NA,NA,NA
"296","Kirk Merritt","Arkansas State","WR","00-0035844",27.4,1997-01-05,2020,NA,NA,NA
"297","George Campbell","West Virginia","WR",NA,24.5,1996-10-27,2020,NA,NA,NA
"298","Darrell Stewart","Michigan State","WR",NA,24.8,1996-07-14,2020,NA,NA,NA
"299","Chris Rowland","Tennessee State","WR","00-0035789",24.2,1997-12-19,2020,NA,NA,NA
"300","Dan Chisena","Penn State","WR","00-0035976",27,1997-02-25,2020,NA,NA,NA
"301","Earnest Edwards","Maine","WR",NA,23.1,1998-03-30,2020,NA,NA,NA
"302","Aaron Fuller","Washington","WR","00-0035987",25.4,1997-09-30,2020,NA,NA,NA
"303","Isaiah Wright","Temple","WR","00-0036142",26.1,1997-01-13,2020,NA,NA,NA
"304","Nick Westbrook-Ikhine","Indiana","WR","00-0036182",27.2,1997-03-21,2020,NA,NA,NA
"305","Isaiah Zuber","Mississippi State","WR","00-0036100",24.9,1997-04-15,2020,NA,NA,NA
"306","De'Michael Harris","Southern Mississippi","WR","00-0035848",24.6,1998-07-12,2020,NA,NA,NA
"307","Tony Brown","Colorado","WR","00-0036111",24.6,1997-08-08,2020,NA,NA,NA
"308","Kendall Hinton","Wake Forest","WR","00-0035864",27.3,1997-02-19,2020,NA,NA,NA
"309","Ja'Marcus Bradley","Louisiana-Lafayette","WR","00-0036110",27.2,1996-12-11,2020,NA,NA,NA
"310","Matt Cole","McKendree","WR","00-0035838",26.3,1996-11-07,2020,NA,NA,NA
"311","Jalen McCleskey","Tulane","WR","00-0035786",25.6,1997-08-06,2020,NA,NA,NA
"312","Kristian Wilkerson","Southeast Missouri","WR","00-0036183",27.4,1997-01-10,2020,NA,NA,NA
"313","Easop Winston","Washington State","WR","00-0036080",27.5,1996-12-17,2020,NA,NA,NA
"314","Mason Kinsey","Berry","WR","00-0036176",25.8,1998-08-29,2020,NA,NA,NA
"315","Mathew Sexton","Eastern Michigan","WR",NA,24.4,1997-10-17,2020,NA,NA,NA
"316","Stephen Guidry","Mississippi State","WR","00-0036136",24.9,1997-03-25,2020,NA,NA,NA
"317","Cody White","Michigan State","WR","00-0035891",25.2,1998-11-28,2020,NA,NA,NA
"318","J.J. Koski","Cal Poly","WR","00-0035935",25.2,1996-12-27,2020,NA,NA,NA
"319","Maurice Ffrench","Pittsburgh","WR","00-0035883",25.1,1998-01-01,2020,NA,NA,NA
"320","Andre Baccellia","Washington","WR","00-0035876",27.4,1997-01-07,2020,NA,NA,NA
"321","N'Keal Harry","Arizona State","WR","00-0035624",26.5,1997-12-17,2019,1,32,"32"
"322","DK Metcalf","Mississippi","WR","00-0035640",26.5,1997-12-14,2019,2,32,"64"
"323","Riley Ridley","Georgia","WR","00-0035590",27.6,1996-07-21,2019,4,24,"126"
"324","A.J. Brown","Mississippi","WR","00-0035676",26.9,1997-06-30,2019,2,19,"51"
"325","Marquise Brown","Oklahoma","WR","00-0035662",27,1997-06-04,2019,1,25,"25"
"326","Hakeem Butler","Iowa State","WR","00-0035529",27.7,1996-05-16,2019,4,1,"103"
"327","Greg Dortch","Wake Forest","WR","00-0035500",26,1998-05-29,2019,NA,NA,NA
"328","Terry McLaurin","Ohio State","WR","00-0035659",28.7,1995-09-15,2019,3,12,"76"
"329","David Sills","West Virginia","WR","00-0035359",28,1996-05-29,2019,NA,NA,NA
"330","DaMarkus Lodge","Mississippi","WR","00-0035475",24,1997-05-12,2019,NA,NA,NA
"331","Parris Campbell","Ohio State","WR","00-0035639",26.9,1997-07-16,2019,2,27,"59"
"332","Mecole Hardman","Georgia","WR","00-0035140",26.2,1998-03-12,2019,2,24,"56"
"333","Kelvin Harmon","North Carolina State","WR","00-0035297",26.2,1996-12-15,2019,6,33,"206"
"334","Emanuel Hall","Missouri","WR","00-0035070",25.8,1997-05-21,2019,NA,NA,NA
"335","Jalen Hurd","Baylor","WR","00-0034971",28,1996-01-23,2019,3,3,"67"
"336","Tyron Johnson","Oklahoma State","WR","00-0035457",28.1,1996-01-08,2019,NA,NA,NA
"337","Lil'Jordan Humphrey","Texas","WR","00-0035406",26.1,1998-04-18,2019,NA,NA,NA
"338","Anthony Johnson","Buffalo","WR","00-0035474",27.1,1995-01-29,2019,NA,NA,NA
"339","Gary Jennings","West Virginia","WR","00-0035589",26,1997-03-07,2019,4,18,"120"
"340","Andy Isabella","Massachusetts","WR","00-0035527",27.6,1996-11-18,2019,2,30,"62"
"341","Darius Slayton","Auburn","WR","00-0035535",27.4,1997-01-12,2019,5,33,"171"
"342","Hunter Renfrow","Clemson","WR","00-0034983",28.5,1995-12-21,2019,5,11,"149"
"343","KeeSean Johnson","Fresno State","WR","00-0035287",27.3,1996-10-09,2019,6,1,"174"
"344","Miles Boykin","Notre Dame","WR","00-0035703",27.7,1996-10-12,2019,3,29,"93"
"345","Preston Williams","Colorado State","WR","00-0035350",27.2,1997-03-27,2019,NA,NA,NA
"346","Jakobi Meyers","North Carolina State","WR","00-0034960",27.6,1996-11-09,2019,NA,NA,NA
"347","Tyre Brady","Marshall","WR","00-0035361",26.1,1995-04-19,2019,NA,NA,NA
"348","Dillon Mitchell","Oregon","WR","00-0035002",24,1997-05-16,2019,7,25,"239"
"349","Antoine Wesley","Texas Tech","WR","00-0035126",26.3,1997-10-22,2019,NA,NA,NA
"350","Stanley Morgan","Nebraska","WR","00-0035399",26.7,1997-09-07,2019,NA,NA,NA
"351","Jamal Custis","Syracuse","WR",NA,25.5,1995-11-06,2019,NA,NA,NA
"352","Ron'Quavion Tarver","Utah State","WR",NA,NA,NA,2019,NA,NA,NA
"353","Johnnie Dixon","Ohio State","WR","00-0035450",26.6,1994-09-16,2019,NA,NA,NA
"354","Dredrick Snelson","Central Florida","WR",NA,26.2,1998-03-28,2019,NA,NA,NA
"355","Deebo Samuel","South Carolina","WR","00-0035719",28.4,1996-01-15,2019,2,4,"36"
"356","Diontae Johnson","Toledo","WR","00-0035216",27.9,1996-07-05,2019,3,2,"66"
"357","Travis Fulgham","Old Dominion","WR","00-0035592",28.4,1995-09-13,2019,6,11,"184"
"358","Juwann Winfree","Colorado","WR","00-0035593",27.8,1996-09-04,2019,6,14,"187"
"359","Marcus Green","Louisiana-Monroe","WR","00-0035296",24.7,1996-08-13,2019,6,30,"203"
"360","Scotty Miller","Bowling Green","WR","00-0035298",26.9,1997-07-31,2019,6,35,"208"
"361","John Ursua","Hawaii","WR","00-0035597",29.1,1994-01-17,2019,7,22,"236"
"362","Terry Godwin","Georgia","WR","00-0035313",26.3,1996-10-23,2019,7,23,"237"
"363","Olabisi Johnson","Colorado State","WR","00-0035006",26.9,1997-03-17,2019,7,33,"247"
"364","Emmanuel Butler","Northern Arizona","WR","00-0034943",24.7,1996-08-27,2019,NA,NA,NA
"365","Ashton Dulin","Malone University","WR","00-0035021",27.1,1997-05-15,2019,NA,NA,NA
"366","Penny Hart","Georgia State","WR","00-0035022",27.9,1996-07-05,2019,NA,NA,NA
"367","Keelan Doss","UC Davis","WR","00-0035120",28.2,1996-03-21,2019,NA,NA,NA
"368","Jazz Ferguson","Northwestern State","WR","00-0035090",24.3,1997-01-12,2019,NA,NA,NA
"369","Cody Thompson","Toledo","WR","00-0035164",28.4,1996-01-11,2019,NA,NA,NA
"370","Reece Horn","Indianapolis","WR","00-0033092",28.3,1993-02-01,2019,NA,NA,NA
"371","Jaylen Smith","Louisville","WR","00-0035121",23.8,1997-08-01,2019,NA,NA,NA
"372","Reggie White Jr.","Monmouth","WR","00-0035019",25.2,1996-03-10,2019,NA,NA,NA
"373","Darrius Shepherd","North Dakota State","WR","00-0035181",26.3,1995-11-01,2019,NA,NA,NA
"374","Jon'Vea Johnson","Toledo","WR","00-0035417",26.2,1995-12-23,2019,NA,NA,NA
"375","Jalen Guyton","North Texas","WR","00-0035414",27,1997-06-07,2019,NA,NA,NA
"376","A.J. Richardson","Boise State","WR","00-0035491",25.9,1995-06-02,2019,NA,NA,NA
"377","Ishmael Hyman","James Madison","WR","00-0034922",25.7,1995-08-23,2019,NA,NA,NA
"378","Damon Sheehy-Guiseppi","Phoenix CC","WR","00-0034915",26.2,1995-02-15,2019,NA,NA,NA
"379","Anthony Ratliff-Williams","North Carolina","WR","00-0035520",23.9,1997-06-17,2019,NA,NA,NA
"380","Damion Willis","Troy","WR","00-0035401",23.9,1997-06-20,2019,NA,NA,NA
"381","Michael Walker","Boston College","WR","00-0035374",24.5,1996-10-29,2019,NA,NA,NA
"382","Felton Davis","Michigan State","WR","00-0035154",24.2,1997-02-25,2019,NA,NA,NA
"383","Shawn Bane","Northwest Missouri State","WR","00-0035194",25.9,1995-06-09,2019,NA,NA,NA
"384","Kahlil Lewis","Cincinnati","WR","00-0035200",23.7,1997-08-31,2019,NA,NA,NA
"385","Nick Easley","Iowa","WR","00-0035353",24.3,1997-01-14,2019,NA,NA,NA
"386","Ventell Bryant","Temple","WR","00-0035548",25.5,1996-08-24,2019,NA,NA,NA
"387","D.J. Montgomery","Austin Peay","WR","00-0035045",27.6,1996-11-17,2019,NA,NA,NA
"388","Kelvin McKnight","Samford","WR","00-0034949",24,1997-04-25,2019,NA,NA,NA
"389","Trinity Benson","East Central","WR","00-0034930",27.1,1997-01-16,2019,NA,NA,NA
"390","Tom Kennedy","Bryant","WR","00-0035544",27.9,1996-07-29,2019,NA,NA,NA
"391","Malik Taylor","Ferris State","WR","00-0035480",28.5,1995-12-21,2019,NA,NA,NA
"392","Marcus Simms","West Virginia","WR","00-0035701",23.4,1997-12-18,2019,NA,NA,NA
"393","Jason Moore","Findlay","WR","00-0035432",28.6,1995-06-23,2019,NA,NA,NA
"394","Alex Bachman","Wake Forest","WR","00-0035602",26.7,1996-05-29,2019,NA,NA,NA
"395","Nsimba Webster","Eastern Washington","WR","00-0035621",28.4,1996-01-27,2019,NA,NA,NA
"396","Trenton Irwin","Stanford","WR","00-0035341",28.5,1995-12-10,2019,NA,NA,NA
"397","Davion Davis","Sam Houston State","WR","00-0035101",26.3,1996-10-23,2019,NA,NA,NA
"398","Alexander Hollins","Eastern Illinois","WR","00-0035104",24.5,1996-11-24,2019,NA,NA,NA
"399","Gunner Olszewski","Bemidji State","WR","00-0035645",27.5,1996-11-26,2019,NA,NA,NA
"400","Deonte Harty","Assumption","WR","00-0035215",26.5,1997-12-04,2019,NA,NA,NA
"401","Alex Wesley","Northern Colorado","WR","00-0035018",25.5,1995-10-27,2019,NA,NA,NA
"402","Jeff Smith","Boston College","WR","00-0035510",27.1,1997-04-21,2019,NA,NA,NA
"403","DeAndre Thompkins","Penn State","WR","00-0035385",25.6,1995-10-01,2019,NA,NA,NA
"404","Spencer Schnell","Illinois State","WR","00-0035587",26.4,1994-12-07,2019,NA,NA,NA
"405","Olamide Zaccheaus","Virginia","WR","00-0035208",26.9,1997-07-23,2019,NA,NA,NA
"406","Steven Sims","Kansas","WR","00-0034928",27.2,1997-03-31,2019,NA,NA,NA
"407","Reggie Begelton","Lamar","WR","00-0035750",28.5,1993-08-31,2019,NA,NA,NA
"408","Duke Williams","Auburn","WR","00-0032945",29.8,1993-05-13,2018,NA,NA,NA
"409","Brandon Zylstra","Concordia","WR","00-0034052",31.2,1993-03-25,2018,NA,NA,NA
"410","Calvin Ridley","Alabama","WR","00-0034837",29.5,1994-12-20,2018,1,26,"26"
"411","Courtland Sutton","SMU","WR","00-0034348",28.7,1995-10-10,2018,2,8,"40"
"412","James Washington","Oklahoma State","WR","00-0034676",28.2,1996-04-02,2018,2,28,"60"
"413","Allen Lazard","Iowa State","WR","00-0034521",28.5,1995-12-11,2018,NA,NA,NA
"414","Christian Kirk","Texas A&M","WR","00-0034775",27.6,1996-11-18,2018,2,15,"47"
"415","Dante Pettis","Washington","WR","00-0034860",28.6,1995-10-23,2018,2,12,"44"
"416","D.J. Moore","Maryland","WR","00-0034827",27.1,1997-04-14,2018,1,24,"24"
"417","Deon Cain","Clemson","WR","00-0034406",26.5,1996-08-09,2018,6,11,"185"
"418","Equanimeous St. Brown","Notre Dame","WR","00-0034279",27.7,1996-09-30,2018,6,33,"207"
"419","Braxton Berrios","Miami","WR","00-0034419",28.7,1995-10-06,2018,6,36,"210"
"420","Anthony Miller","Memphis","WR","00-0034353",29.7,1994-10-09,2018,2,19,"51"
"421","Antonio Callaway","Florida","WR","00-0034772",27.1,1997-01-09,2018,4,5,"105"
"422","Ray-Ray McCloud","Clemson","WR","00-0034407",27.6,1996-10-15,2018,6,13,"187"
"423","Auden Tate","Florida State","WR","00-0034686",27,1997-02-03,2018,7,35,"253"
"424","Simmie Cobbs","Indiana","WR","00-0034068",28.8,1995-08-25,2018,NA,NA,NA
"425","Javon Wims","Georgia","WR","00-0034426",29.4,1994-09-11,2018,7,6,"224"
"426","Tre'Quan Smith","Central Florida","WR","00-0034765",28.4,1996-01-07,2018,3,27,"91"
"427","Michael Gallup","Colorado State","WR","00-0034764",28.3,1996-03-04,2018,3,17,"81"
"428","Marcell Ateman","Oklahoma State","WR","00-0034747",28.4,1994-09-16,2018,7,10,"228"
"429","Deontay Burnett","USC","WR","00-0034653",24.4,1997-10-04,2018,NA,NA,NA
"430","DaeSean Hamilton","Penn State","WR","00-0034370",28,1995-03-10,2018,4,13,"113"
"431","Austin Proehl","North Carolina","WR","00-0034442",24.9,1996-06-17,2018,7,37,"255"
"432","Darren Carrington","Utah","WR","00-0034888",26.6,1994-10-11,2018,NA,NA,NA
"433","Cedrick Wilson","Boise State","WR","00-0034418",28.5,1995-11-20,2018,6,34,"208"
"434","Robert Foster","Alabama","WR","00-0034510",28.8,1994-05-07,2018,NA,NA,NA
"435","Elijah Marks","Northern Arizona","WR",NA,25.4,1995-12-29,2018,NA,NA,NA
"436","Cam Phillips","Virginia Tech","WR","00-0034512",25.4,1995-12-16,2018,NA,NA,NA
"437","Jester Weah","Pittsburgh","WR","00-0034633",27,1995-02-07,2018,NA,NA,NA
"438","J'Mon Moore","Missouri","WR","00-0034268",26.8,1995-05-23,2018,4,33,"133"
"439","Jordan Lasley","UCLA","WR","00-0034271",24.5,1996-11-13,2018,5,25,"162"
"440","Steven Mitchell","USC","WR","00-0034081",27.8,1994-05-02,2018,NA,NA,NA
"441","Bryce Bobo","Colorado","WR","00-0034878",25.9,1995-06-21,2018,NA,NA,NA
"442","Davon Grayson","East Carolina","WR","00-0034748",25.7,1995-09-05,2018,NA,NA,NA
"443","Keke Coutee","Texas Tech","WR","00-0034366",27.4,1997-01-14,2018,4,3,"103"
"444","Jaleel Scott","New Mexico State","WR","00-0034267",27,1995-02-23,2018,4,32,"132"
"445","Trey Quinn","SMU","WR","00-0034339",27.2,1995-12-07,2018,7,38,"256"
"446","Jake Wieneke","South Dakota State","WR","00-0034222",26.6,1994-09-15,2018,NA,NA,NA
"447","Daurice Fountain","Northern Iowa","WR","00-0034395",28.1,1995-12-22,2018,5,22,"159"
"448","Korey Robertson","Southern Mississippi","WR","00-0034220",25.9,1995-06-22,2018,NA,NA,NA
"449","D.J. Chark","LSU","WR","00-0034777",27.7,1996-09-23,2018,2,29,"61"
"450","Malik Turner","Illinois","WR","00-0034867",28,1996-01-30,2018,NA,NA,NA
"451","Darren Andrews","UCLA","WR",NA,25.8,1995-08-05,2018,NA,NA,NA
"452","Richie James","Middle Tennessee State","WR","00-0034286",29.2,1995-04-05,2018,7,22,"240"
"453","Justin Watson","Pennsylvania","WR","00-0034386",29.2,1995-04-04,2018,5,7,"144"
"454","Marquez Valdes-Scantling","South Florida","WR","00-0034272",29.7,1994-10-10,2018,5,37,"174"
"455","Damion Ratley","Texas A&M","WR","00-0034273",27.9,1995-04-16,2018,6,1,"175"
"456","Russell Gage","LSU","WR","00-0034411",28.4,1996-01-22,2018,6,20,"194"
"457","Deontez Alexander","Franklin","WR","00-0034715",24.8,1996-07-25,2018,NA,NA,NA
"458","Byron Pringle","Kansas State","WR","00-0034297",30.6,1993-11-17,2018,NA,NA,NA
"459","Teo Redding","Bowling Green","WR","00-0034647",26.4,1994-12-08,2018,NA,NA,NA
"460","Jordan Veasy","California","WR","00-0034669",25.9,1995-06-23,2018,NA,NA,NA
"461","Keith Kirkwood","Temple","WR","00-0034317",30.4,1993-12-26,2018,NA,NA,NA
"462","Damoun Patterson","Youngstown State","WR","00-0034698",26.6,1994-09-16,2018,NA,NA,NA
"463","Vyncint Smith","Limestone","WR","00-0034631",27.7,1996-06-09,2018,NA,NA,NA
"464","John Diarse","TCU","WR",NA,26.4,1994-12-10,2018,NA,NA,NA
"465","Trent Sherfield","Vanderbilt","WR","00-0034487",28.3,1996-02-26,2018,NA,NA,NA
"466","Cam Sims","Alabama","WR","00-0034104",28.4,1996-01-06,2018,NA,NA,NA
"467","Steve Ishmael","Syracuse","WR","00-0034087",25.8,1995-07-18,2018,NA,NA,NA
"468","Janarion Grant","Rutgers","WR","00-0034307",27.5,1993-11-20,2018,NA,NA,NA
"469","J.J. Jones","West Georgia","WR","00-0034560",28.4,1992-12-06,2018,NA,NA,NA
"470","Brandon Powell","Florida","WR","00-0034646",27.7,1996-09-12,2018,NA,NA,NA
"471","Derrick Willies","Texas Tech","WR","00-0034258",27.4,1994-10-17,2018,NA,NA,NA
"472","Cameron Batson","Texas Tech","WR","00-0034652",27.2,1995-12-20,2018,NA,NA,NA
"473","KhaDarel Hodge","Prairie View A&M","WR","00-0034854",29.4,1995-01-03,2018,NA,NA,NA
"474","Jawill Davis","Bethune-Cookman","WR","00-0034499",26.1,1995-04-06,2018,NA,NA,NA
"475","Da'Mari Scott","Fresno State","WR","00-0034256",26.6,1995-08-08,2018,NA,NA,NA
"476","Quadree Henderson","Pittsburgh","WR","00-0034206",24.7,1996-09-12,2018,NA,NA,NA
"477","Chad Beebe","Northern Illinois","WR","00-0034309",28.7,1994-06-01,2018,NA,NA,NA
"478","Saeed Blacknall","Penn State","WR","00-0034170",25.1,1996-03-17,2018,NA,NA,NA
"479","Jalen Tolliver","Arkansas-Monticello","WR","00-0034489",25.4,1995-12-30,2018,NA,NA,NA
"480","Chris Lacy","Oklahoma State","WR","00-0034593",28,1996-01-28,2018,NA,NA,NA
"481","Darvin Kidsy","Texas Southern","WR","00-0034710",26.1,1995-03-19,2018,NA,NA,NA
"482","Josh Crockett","Central Oklahoma","WR","00-0034819",26.2,1995-03-13,2018,NA,NA,NA
"483","Marken Michel","Massachusetts","WR","00-0032609",27.8,1993-07-06,2018,NA,NA,NA
"484","Alonzo Russell","Toledo","WR","00-0032550",28.6,1992-09-29,2018,NA,NA,NA
"485","Jeff Badet","Oklahoma","WR","00-0034207",27.6,1994-08-02,2018,NA,NA,NA
"486","Devin Gray","Cincinnati","WR","00-0034141",25.9,1995-06-15,2018,NA,NA,NA
"487","Christian Blake","Northern Illinois","WR","00-0034132",26.7,1996-06-08,2018,NA,NA,NA
"488","Codey McElroy","Southeastern Oklahoma","WR","00-0034735",30.2,1992-12-13,2018,NA,NA,NA
"489","Rico Gafford","Wyoming","WR","00-0034660",26.8,1996-05-23,2018,NA,NA,NA
"490","Devin Ross","Colorado","WR","00-0034667",25.7,1995-08-12,2018,NA,NA,NA
"491","Jake Kumerow","Wisconsin-Whitewater","WR","00-0031787",32.3,1992-02-17,2017,NA,NA,NA
"492","Corey Davis","Western Michigan","WR","00-0033871",29.4,1995-01-11,2017,1,5,"5"
"493","Mike Williams","Clemson","WR","00-0033536",29.7,1994-10-04,2017,1,7,"7"
"494","John Ross","Washington","WR","00-0033460",28.5,1995-11-27,2017,1,9,"9"
"495","JuJu Smith-Schuster","Southern California","WR","00-0033857",27.5,1996-11-22,2017,2,30,"62"
"496","Curtis Samuel","Ohio State","WR","00-0033282",27.8,1996-08-11,2017,2,8,"40"
"497","Dede Westbrook","Oklahoma","WR","00-0033839",30.2,1993-11-21,2017,4,3,"110"
"498","KD Cannon","Baylor","WR","00-0033309",25.5,1995-11-05,2017,NA,NA,NA
"499","Malachi Dupre","LSU","WR","00-0033305",25.6,1995-10-12,2017,7,29,"247"
"500","Artavis Scott","Clemson","WR","00-0033706",26.4,1994-12-12,2017,NA,NA,NA
"501","Isaiah Ford","Virginia Tech","WR","00-0033471",27,1996-02-09,2017,7,19,"237"
"502","Chris Godwin","Penn State","WR","00-0033921",28.3,1996-02-27,2017,3,20,"84"
"503","Cooper Kupp","Eastern Washington","WR","00-0033908",31,1993-06-15,2017,3,5,"69"
"504","Ryan Switzer","North Carolina","WR","00-0033562",28.3,1994-11-04,2017,4,25,"133"
"505","Amara Darboh","Michigan","WR","00-0033937",28.1,1994-02-01,2017,3,43,"106"
"506","Taywan Taylor","Western Kentucky","WR","00-0033911",28,1995-03-02,2017,3,8,"72"
"507","Josh Reynolds","Texas A&M","WR","00-0033943",29.3,1995-02-16,2017,4,10,"117"
"508","Jehu Chesson","Michigan","WR","00-0033464",27.4,1993-12-29,2017,4,31,"139"
"509","Shelton Gibson","West Virginia","WR","00-0033573",26.1,1995-03-20,2017,5,22,"166"
"510","Carlos Henderson","Louisiana Tech","WR",NA,26.4,1994-12-19,2017,3,18,"82"
"511","Noah Brown","Ohio State","WR","00-0033591",26.9,1997-07-19,2017,7,21,"239"
"512","ArDarius Stewart","Alabama","WR","00-0033916",27.4,1993-12-08,2017,3,15,"79"
"513","Fred Ross","Mississippi State","WR","00-0033412",26,1995-05-19,2017,NA,NA,NA
"514","Gabe Marks","Washington State","WR",NA,29.8,1994-08-06,2017,NA,NA,NA
"515","Zay Jones","East Carolina","WR","00-0033891",29.2,1995-03-30,2017,2,5,"37"
"516","Stacy Coley","Miami","WR","00-0033968",27,1994-05-13,2017,7,1,"219"
"517","Jordan Westerkamp","Nebraska","WR",NA,26.9,1994-06-23,2017,NA,NA,NA
"518","Gehrig Dieter","Alabama","WR","00-0033474",30,1993-02-24,2017,NA,NA,NA
"519","Trey Griffey","Arizona","WR","00-0033259",27.3,1994-01-19,2017,NA,NA,NA
"520","Travis Rudolph","Florida State","WR","00-0033717",25.6,1995-09-15,2017,NA,NA,NA
"521","Speedy Noil","Texas A&M","WR",NA,25.6,1995-10-14,2017,NA,NA,NA
"522","Chad Hansen","California","WR","00-0033840",28.1,1995-01-18,2017,4,33,"141"
"523","Travin Dural","LSU","WR","00-0033517",27.6,1993-10-19,2017,NA,NA,NA
"524","Darreus Rogers","Southern California","WR",NA,27.7,1993-09-03,2017,NA,NA,NA
"525","Keevan Lucas","Tulsa","WR",NA,26.1,1995-04-10,2017,NA,NA,NA
"526","DeAngelo Yancey","Purdue","WR","00-0033291",26.5,1994-11-18,2017,5,31,"175"
"527","Josh Malone","Tennessee","WR","00-0033859",26.9,1996-03-21,2017,4,20,"128"
"528","Robert Davis","Georgia State","WR","00-0033530",26.1,1995-04-02,2017,6,25,"209"
"529","Ishmael Zamora","Baylor","WR",NA,25.4,1995-11-26,2017,NA,NA,NA
"530","Kenny Golladay","Northern Illinois","WR","00-0033932",30.6,1993-11-03,2017,3,31,"96"
"531","Chad Williams","Grambling State","WR","00-0033933",28.4,1994-10-19,2017,3,34,"98"
"532","Brendan Langley","Lamar","WR","00-0033552",26.6,1994-10-16,2017,3,37,"101"
"533","Mack Hollins","North Carolina","WR","00-0033555",30.7,1993-09-16,2017,4,11,"118"
"534","Jamal Agnew","San Diego","WR","00-0033572",29.2,1995-04-03,2017,5,21,"165"
"535","Rodney Adams","South Florida","WR","00-0033957",29.4,1994-09-15,2017,5,26,"170"
"536","Isaiah McKenzie","Georgia","WR","00-0033466",29.2,1995-04-09,2017,5,28,"172"
"537","Trent Taylor","Louisiana Tech","WR","00-0033292",30.1,1994-04-30,2017,5,33,"177"
"538","David Moore","East Central","WR","00-0033589",29.4,1995-01-15,2017,7,8,"226"
"539","Austin Carr","Northwestern","WR","00-0033382",28.2,1993-12-25,2017,NA,NA,NA
"540","Krishawn Hogan","Marian","WR","00-0033604",26.8,1995-05-12,2017,NA,NA,NA
"541","Keon Hatcher","Arkansas","WR","00-0033441",26.7,1994-09-11,2017,NA,NA,NA
"542","Tanner Gentry","Wyoming","WR","00-0033633",29.1,1994-12-18,2017,NA,NA,NA
"543","Jerome Lane","Akron","WR",NA,25.2,1996-03-09,2017,NA,NA,NA
"544","Amba Etta-Tawo","Syracuse","WR","00-0033687",27.5,1993-11-10,2017,NA,NA,NA
"545","Victor Bolden","Oregon State","WR","00-0033306",28.9,1995-04-04,2017,NA,NA,NA
"546","Tim Patrick","Utah","WR","00-0033375",30.5,1993-11-23,2017,NA,NA,NA
"547","Drew Morgan","Arkansas","WR","00-0033407",26.4,1994-12-02,2017,NA,NA,NA
"548","Lance Lenoir","Western Illinois","WR","00-0033992",26.2,1995-02-09,2017,NA,NA,NA
"549","Jamaal Jones","Montana","WR","00-0033003",28.3,1993-01-31,2017,NA,NA,NA
"550","Tim White","Arizona State","WR","00-0033379",26.8,1994-07-15,2017,NA,NA,NA
"551","Quincy Adeboyejo","Mississippi","WR","00-0033366",26.8,1995-05-26,2017,NA,NA,NA
"552","Michael Clark","Marshall","WR","00-0033352",25.5,1995-10-26,2017,NA,NA,NA
"553","Keelan Cole","Kentucky Wesleyan","WR","00-0033681",31.1,1993-04-20,2017,NA,NA,NA
"554","Damore'ea Stringfellow","Mississippi","WR","00-0033417",26.6,1994-10-18,2017,NA,NA,NA
"555","Kendrick Bourne","Eastern Washington","WR","00-0033307",28.8,1995-08-04,2017,NA,NA,NA
"556","Riley McCarron","Iowa","WR","00-0033773",27.9,1993-06-16,2017,NA,NA,NA
"557","Brandon Reilly","Nebraska","WR","00-0033620",27.6,1993-09-24,2017,NA,NA,NA
"558","Daikiel Shorts","West Virginia","WR",NA,26.6,1994-10-06,2017,NA,NA,NA
"559","Reggie Davis","Georgia","WR","00-0033815",25.5,1995-11-22,2017,NA,NA,NA
"560","Zach Pascal","Old Dominion","WR","00-0033251",29.5,1994-12-18,2017,NA,NA,NA
"561","Chris Thompson","Florida","WR","00-0033855",27,1994-05-09,2017,NA,NA,NA
"562","Marcus Kemp","Hawaii","WR","00-0033481",28.5,1995-08-14,2017,NA,NA,NA
"563","Larry Pinkard","Old Dominion","WR","00-0031834",29.2,1992-02-25,2017,NA,NA,NA
"564","Carlton Agudosi","Rutgers","WR","00-0033599",27.3,1994-02-01,2017,NA,NA,NA
"565","Bobo Wilson","Florida State","WR","00-0033434",26.3,1995-01-25,2017,NA,NA,NA
"566","Isaac Whitney","USC","WR","00-0033449",26.9,1994-06-22,2017,NA,NA,NA
"567","Montay Crockett","Georgia Southern","WR","00-0033353",27.4,1993-12-11,2017,NA,NA,NA
"568","Cody Hollister","Arkansas","WR","00-0033386",30.2,1993-11-18,2017,NA,NA,NA
"569","River Cracraft","Washington State","WR","00-0034054",29.6,1994-11-01,2017,NA,NA,NA
"570","Greg Ward","Houston","WR","00-0033733",28.9,1995-07-12,2017,NA,NA,NA
"571","C.J. Board","Chattanooga","WR","00-0033367",30.2,1993-12-12,2017,NA,NA,NA
"572","Cyril Grayson","Louisiana State","WR","00-0033215",29.2,1993-12-05,2017,NA,NA,NA
"573","Fred Brown","Mississippi State","WR","00-0033994",28.2,1993-12-01,2017,NA,NA,NA
"574","Andre Patton","Rutgers","WR","00-0033705",26.9,1994-05-28,2017,NA,NA,NA
"575","Rashard Davis","James Madison","WR","00-0034034",25.6,1995-09-14,2017,NA,NA,NA
"576","Daniel Williams","Jackson State","WR","00-0034035",25.8,1995-08-06,2017,NA,NA,NA
